name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
bekhen-stone,"pietra bekhen, lapis basanites, basanites lithos, basaniti lapidis,basanite, basalt,grovacca; basalte verde antico","24, 16",metagrovacca; metagraywacke/graywacke,24; 16,Precambrian ,16,black/grey,24,,,,,,,Eastern Egyptian desert/ Mons Basanites/ Uadi Hammamat ,24,"Statues: 12 in the Throne Room of the Flavian Palace, bust of Jove in the Villa Albani. Urns: Baptistery of S. Giovanni in Laterano, S. Croce in Jerusalem. Basins: Octagonal courtyard in the Vatican City. ",24,,,,,,,,,,,,,"""Exported in Roman Imperial Period but very rare""",14,,,,,,,,,,,,,image in folder,248,,,,,,,,,,,,
pietra paesina,"landscape stone, picture stone",,Marble,,,,,,0.2,295,0.3,295,,,"Used locally and quarried from Valdarno, just south of Florence, Italy",14,,,,,,,,,,,,,,,Imperial Period,14,2716,309,2510,309,3140,309,,,,,,,image in folder,249,,,,,,,,,,,,
granito a morviglione,"porfido bigio/gray porphyry, granito a morviglione, granito blu dell'Esterel, Frejus porphyry.",13,dacite,13,,,"grey/pink/black/white; white, pink, gray, blue specks",13; 14,,,,,,,"France, Var Boulouris, Sant Raphael-Frejus; France, Dramont, just east of Boulouris, Les Petits Carous, just north of Boulouris, ""used locally from Archaic period, exported further sporadically and then only to Rome"" ",13; 14,"Columns: Baths of Caracalla, S. Peter's, floor stones, mattonelle.",13,,,"Large columns of 'porphyido bigio' were, from Gregory XIII removed adornment of the Clementine Chapel in St. Peter and many other fragments were found in the excavation works of the Baths of Caracalla, directed, at the end of the last century, by R. Lanciani.",198,,,Two columns of 'porphyido bigio' can still be seen in situ in the thermal baths of the Six Columns in Ostia,198,used in Rome since the Severan period for columns and incrustations,289,,,used during the Severan dynasty,198,2410,309,1940,309,2700,309,,,,,,,Image in folder,150,,,,,,,,,,,,
porfido nero,"porfido antico, porfido Egiziano, lapis porphyrites melanos, black porphyry; porfido nero grafico","16, 14",andesite-dacite porphyry,16,Precambrian,16,"black groundmass, pale green/white crystals",16,,,,,,,"Eastern Egyptian desert, Gebel Dokhan (Mons Porphyrites)",16,together with other Egyptian stones it makes up the triclinium of Domus Flavia,199,frequently found in Roman excavations by Gnoli ,199,"2 porphyries of porfido nero adorning the altar of the Decollazione del Santo and the monastery of the Three Fountains, ad aquas salvias, and its three churches, on the ancient Via Laurentina, built by Narsete in the place where the apostle Paul was beheaded ",199,,,Exported in small quantities,14,1st century CE,16,5th century CE,16,,,,,,,,,,,,,,,Image in folder,150,,,,,,,,,,,,
Porfido rosso antico,"Ancient red porphryry, lapis porphyrites thebaicus, porphyrites, lithos romainon, Imperial Porphyry, Porphyrite.",23,dacite-andesite,23,Precambrian,16,red/pink,23,,,,,,,Eastern Egyptian desert; Gebel Dokhan (Mons Porphyrites); over 9 km^2,23; 26,"Sarcophagi: S. Costanza, S. Maria in Aracoeli. Columns: Temple of Romulus in the Forum, Pantheon. Floor: S. Lorenzo fuori le Mura, S. Clemente, S. Paolo fuori le Mura, S. Pietro in Vaticano. Ciboria: S. Paolo fuori le Mura, S. Lorenzo fuori le Mura, S. Giovanni in Fonte, S. Crisogono in Trastevere. Baptismal fonts: S. Pietro in Vatocano. Basins, marquetry. ",23,"Was Pliny referring to this stone when he described a red Egyptian porphyry as ""not very highly approved of"" since it was introduced under emperor Claudius?",99,"found in in S. Eustachio, in S. Marco, in S. Pancrazio, in S. Pietro", ,,,,,4th century CE,26,,,"Inscription dating to 18 CE , with signs of occupation through the fourth century CE ; or early fifth century CE",26; 16,,,,,,,,,,,,,Image in folder,150,,,,,,,,,,,,
porfido serpentino nero,black serpent porphyry,16,trachyandesite porphyry,16,Precambrian,16,"black aphanitic groundmass with pale gray crystals; ""green shade and white flecks"" ",16; 14,,,,,,,"Eastern Egyptian Desert, Wadi Umm Towat near Gebel Dokhan",16,in the imperial palaces of the Palatine,201,seen by Gnoli in the column to the right of the entrance of the chapel of S. Zenone in S. Prassede,201,"less frequently worn than black porphyry, and except for two vases already in the Gallery of the Candelabra",201,,,Very rare; very rarely used in Rome,14; 288,1st century CE,16,2nd century CE,16,,,,,,,,,,,,,,,Image in folder,150,,,,,,,,,,,,
porfido serpentino antico,"porfido verde antico/Ancient green porphyry, lapis lacedaemonius, krokeatis lithos, serpentino, verde di Laconia o di Sparta.;porfido verde di Grecia","15, 14",Metandesite ,15,,,Green/brown; another variety is lighter green pavonazzetto ,15; 14,,,,,,,"Greece, Laconia, Sparta, Krokeai/Stephanià.",15,"Colonnine: baptistery of S. Giovanni in Laterano. Paving stones, also in opus sectile (Curia, S. Maria in Aracoeli, SS Giovanni e Paolo, S. Lorenzo fuori le Mura, S. Pietro in Vincoli, S. Paolo fuori le Mura, Vittoriano. Paving stones: Nympheum of Egeria), Capitals: Ciborio di S. Saba, Mattonelle, Cornices; only small boulders have ever been found in the excavations",15; 199,"several blocks came to light in S. Marinella, near the Odescalchi Castle by antiquarian Simonetti",199,"By the 1st century AD, green porphyry from the area south of Sparta was being used in imperial building programs",119,,,"This porphyryhas a green lawn background with white and black crystals, traversed by capillary veins of black green",199,used from the time of the Byzantines,287,,,Used from the Mycenean period but only exported inter-regionally in the Roman Imperial period ,14,,,,,,,,,,,,,Image in folder ,150,,,,,,,,,,,,
porfido verde Egiziano,"Egyptian green porphyry, lapid hieracitis (""hawk stone""); porfido verde oliva","16, 14",andesite-dacite porphyry,16,Precambrian,16,green-black groundmass with pale green and white crystals,16,,,,,,,"Eastern Egyptian desert, Gebel Dokhan (Mons Porphyrites) ",16,possibly makes up the sarcophagus of Roman Emperor Leo I ,200,"according to Pliny, this stone' appearance is blackish green with splashes of spots of other colors",200,known in imperial times for its hardness and value ,200,,,Exported in small quantities,14,1st century CE,16,5th century CE,16,,,,,,,,,,,,,,,image in folder,172,,,,,,,,,,,,
Portasanta,marmor chium,17,breccia tettonica,17,,,"Red/Purple/White; large white/gray/red crystals, white/pink bands; The Porta Santa differs from similar forms of Africano by the always broken colors. The reddish-brown color tones always have a resemblance to cold roast beef.",17; 14; 274,,,,,,,"Grecia, Mare Egeo, Isola di Chios, Latomion, quarried from Mount Pelinnaeus; similar variety (rosa Portugues) used locally/regionally in Portugal ",17; 56; 14 (an extra citation?),"Paving stones: Basilica Aemilia and Giulia, Atrium Vestae, Trajanic Forum, S. Paolo fuori le Mura, S. Maria della Vittoria, S. Sabina, S. Gregorio Magno. thresholds: Tempio della Concordia, Stadio del Palatino. Columns: Largo Argentina, altar of S. Sebastion and of the Presentazione in St. Peter's, S. Agnese fuori le Mura, S. Pietro in Vincoli, cappella di S. Domenico in S. Clemente, S. Gregorio Magno. Jambs: Porta Santa di S. Paolo fuori le Mura, S. Giovanni in Laterano, S. Pietro, S. Maria Maggiore, S. Maria dell'Anima. Fountain basins: Piazza Navona and Piazza Colonna. Bases: S. Pietro in Vincolo: Stele; trapezophori. ",17,Strabo refers to a marble quarry on Chios,104,Exported to Rome by 1st century BCE from Chios,119,,,the distribution of portasanta is especially concentrated in Italy and Rome,123,"used in Rome since the late 1st century BCE, more commonly used in the 2nd century CE for columns",274,,,"used in Rome starting in Augustan period, esp. under Trajan and Hadrian",26,2291,309,1540,309,3000,309,,,,,,,image in folder,112,,,,,,,,,,,,
marmo di Proconneso,"proconnesio, marmor proconnesium. Cyzium. Marmo cipolla.; Neuris, Proconnesus","21, 31",Marble,21,,,"Gray/White; medium-grained, some with pale blue bands",21; 14,0.2,295,0.3,295,,,"Asia minor, Isola di Marmara, Proconnesos; Used in nearby cities, esp. Cyzicus",21; 57,"Columns and capitals: Colosseum. Sarcophagi: the so-called ""Grande Ludovisi"" in Palazzo Altemps. Floors, Altars, trabeations. [[1, 314]] Façade of the Mausoleum at Halicarnassus, one of the Seven Wonders of the Ancient World [[Pliny, NH 36.6.47]]",21; 70,"Strabo, Geography: 7.fragments.55, 13.1.16; Pliny the Elder, Natural History: 5.44, 36.6.47; Vitruvius, Architecture:10.2.15",85,"Has been very common since late antiquity, almost exclusively used in Byzantium. ",284,,,,,2nd century CE,16,,,Local use from Archaic period; 2nd century CE onward exported widely,16,2716,309,2510,309,3140,309,,,,,,,image in folder,250,,,,,,,,,,,,
Purbeck marble,"Purbeck (Royal) Blue, Purbeck Green",,Recrystallized limestone,14,Upper (Late) Jurassic,16,"Dark brown/black, with green/yellow/brown specks; or, blue-gray/green tinted with green/red coarse-grained, hard, very smooth, poorly sorted, containing the fossilized shells of viviparus carniferus",14; 20,0.2,295,0.3,295,0.462,12,"Exported across the region from the Isle of Purbeck, SE Dorset, Britain",14,"Columns, moldings, veneers, inlays, flooring, inscriptions, tesserae, and small objects, including the Temple of Claudius (c. 54 CE) and a 1st century CE tombstone in Dorset; popular feature of Medieval churches ",20,,,,,,,Knowles distinguishes between two varieties: blue-gray and green. Both were apparently quarried by Romans.,20,43 CE,20,,,Soon after Roman occupation in 43 CE,20,2705,12,,,,,,,,,,,image in folder,251,18.74,12,,,,,145.66,12,,,,
Quarr Featherbed,,,Bioclastic Limestone from the Bembridge Beds,20,Oligocene,16,generally pale grey in appearance with a slight greenish-hue. Small grains of quartz sand exist between the shells and when the stone is seen to sparkle this is as a result of light reflected from crystal faces of secondary spar-calcite,241,0.2,295,0.3,295,,,"Quarried from Quarr Wood, Binstead, on the Isle of Wight, southern England; local and regional use ",20; 14,"Parts of Portchester Castle (i.e., the original Roman fort?) ",20,,,Quarr Stone is a hard-wearing stone and may have first been used for weathering features such as a plinth or a stringcourse in an early (Lanfranc’s time?) wall of the cathedral.,241,,,"The name ‘Quarr’ is derived from the Latin word ‘quadraria’ meaning quarry, there being a quarry on site before the abbey was built.  On fresh exposure the rock displays a series of curved and broken shell rims nested together, which led to the local name ‘featherbed stone’ by the quarrymen. It is generally pale grey in appearance with a slight greenish-hue. Small grains of quartz sand exist between the shells and when the stone is seen to sparkle this is as a result of light reflected from crystal faces of secondary spar-calcite.",241,11th-12th centuries CE,241,14th century CE,241,Imperial Period; The quarries were intensively exploited in the eleventh and twelfth centuries and by the mid-twelfth century production was already on the wane. By the fourteenth century the beds had been worked out. The building stone was shipped out to many secular and ecclesiastical buildings on the south coast.,14; 241,,,,,,,,,,,,,image in folder,241,,,,,,,,,,,,
Sarsen Stone,"Bridestone, Druid Stone, Grey Wether, Heathstone",20,Quartzite,20,Eocene,16,"colours vary from grey to pale brown, but they can occasionally be pink or bluish grey",20,,,,,,,"downs and heaths of southern England, particularly the Marlborough Downs, esp. around Wiltshire, and to a lesser extent in Dorset, Hampshire, Oxfordshire, and Kent",20,"The only Roman example Knowles gives is of a set of rotary quernstones (used to grind grain), but evidence from other eras indicates that the stone was also used for large monuments, including Stonehenge. Difficult for masonry as they were hard to cut; could not be split into uniform blocks until the 1800s",20,,,,,,,"Not quarried but instead ""taken from the surface debris scattered over the Downs"", in blocks up to 6 m long",20,,,,,,,,,,,,,,,,,,,image in folder,252,,,,,,,,,,,,
Swithland Slate,,,Siltstone from the Swithland formation,20,Lower Cambrian,16,"Dark blue/gray, sometimes with shades of green; compact, fine-grained, hard, and smooth",20,,,,,,,"Quarried around Leicester, central England",20,"Roofing and walling, also used for tombstones",20,,,,,,,"Composed of white mica, quartz, chlorite, and other minerals",20,,,,,,,,,,,,,,,,,,,image in folder,253,,,,,,,,,,,,
Verde antico,"marmor atracium o thessalicum; lapis atracius.; verde orientale, cipollino verde antico, serpentin marmor","15, 12",Breccia oficalcica. ,15,,,Green/white/grey; darker patches and white/green crystals,14,,,,,0.1,12,"Greece, Thessaly, Chasabali",15,"Columns: Foro Romano, Palazzo Farnese, S. Agnese in Agone, S. Maria Maddalene in Campo Marzio, S. Giovanni in Laterano, Confessional of S. Lorenzo fuori le Mura, S. Sabine. Wall stones: S. Paolo fuori le Mura, S. Giovanni in Laterano, S. Sabina, S. Pietro in Vincoli, S. Clemente, S. Maria Maddalena in Campo Marzio, S. Gregorio Magno, SS. Giovanni e Paolo. Paving stones: Vittoriano. Sarcophagus of S. Sisto in S. Maria Maggiore. Basins, Statues. ",15,,,basin of verde antico exists in the Rospigliosi gallery,160,,,,,2nd century CE,14,,,Exported inter-regionally by the 2nd century AD and widely in Late Antiquity,14,2720,12,,,,,,,,,,,image in folder (2),150; 112,24.4,12,,,,,106.1,12,,,,
White Grinshill,,,Keuper Sandstone ,20,Upper Triassic Period,16,"Whitish grey, creamy buff colour with brown speckles; quarried alongside a red/pink variety; medium-grained, hard, rough",15; 20,,,,,,,"Possibly quarried around Clive, Shropshire, England",20,Possibly used to build the walls at the Roman town of Viroconium (modern Wroxeter),20,,,,,,,"Minerals: quartz, microline, muscovite mica, feldspar, granite, flint, quartzite, iron ore ",20,10th century CE,20,,,"No archaeological evidence for quarries during Roman times, although it is thought that they existed, the earliest evidence dates to the 10th century CE",20,,,,,,,,,,,,,image in folder ,254,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tufo Giallo di Sacrofano,,,,,"285,000 +/- 1,000 years old ",10,,,,,,,,,Monti Sabatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,image in folder,255,,,,,,,,,,,,
Tufo Terrosco con Pomici Bianche,,,,,"488,000 +/- 2,000 years old ",10,,,,,,,,,Monti Sabatini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tufo Stratificati di La Sorta,,,,,"410,000 - 416,000 years old",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tufo Pisolitico di Trigoria,,,,,"561,000 +/- 1,000 years old ",10,,,,,,,,,Alban Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
